WISE Name,Catalog,GLong,GLat,RA_1,Dec_1,Radius_1,HII Region,Membership,VLSR<br>(km/s),Author,VLSR (Mol.)<br>(km/s),Mol. Author,Molecule,KDAR,Dist.<br>(kpc),Err Dist.<br>(kpc),Dist. Method,Dist. Author,RGal<br>(kpc),z<br>(pc),GLIMPSE 8um<br>(Jy),WISE 12um<br>(Jy),WISE 22um<br>(Jy),MIPSGAL 24um<br>(Jy),Hi-Gal 70um<br>(Jy),Hi-Gal 160um<br>(Jy),HRDS 3cm<br>(Jy),MAGPIS 20cm<br>(Jy),VGPS 21cm<br>(Jy),Other Names,# tileid,name,iauName,npix,nnested,nnested_ext,nested_ext,morph_type,bbox_x,bbox_y,bbox_w,bbox_h,bbox_rot_x,bbox_rot_y,bbox_rot_w,bbox_rot_h,bbox_rot_theta,x0,y0,l,b,ra_2,dec_2,x0_w,y0_w,l_w,b_w,radius_2,radius_wcs,x0_mincircle,y0_mincircle,radius_mincircle,x0_mincircle_wcs,y0_mincircle_wcs,radius_mincircle_wcs,minSize_wcs,maxSize_wcs,S,Smin,Smax,Smean,Smedian,Sstddev,Sbkg,Sbkg_interp,Sbkg_fit,Serr_bkg,Serr_noise,Snoise,Stot,Stot_err,flux,fluxErr,Stot_nested,Stot_err_nested,Stot_noPS,Stot_err_noPS,flux_noPS,flux_err_noPS,is_flux_reliable,border,classname,classid,objname,GroupID,GroupSize,VLSR (Mean)<br>(km/s),Dist<br>(kpc),Dist_err<br>(kpc),log(N_{Ly})
G334.427+00.331,K,334.427,0.331,245.83993,-49.133046,53.2,,,-90.4,Wenger et al. (2021),,,,N,5.20743,0.304849,Visible/Kin,,4.30526,31.3019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATCA685; SHRDS818,G333.5+000,S1510,G334.427+00.333,885,0,0,NONE,0,1525.5,4548.5,35,37,1522.0,4550.0,39.6,29.7,45.0,1523.7,4549.2,334.42726,0.33343,245.8378,-49.13129,1524.2,4549.7,334.42704,0.33364,25.5,0.637,1525.4,4546.5,20.0,334.42657,0.33229,0.501,0.743,0.99,1.769524508388713,0.0003096510772593,0.007497489452362,0.0016117458260021,0.0011590345529839,0.0012078550417379,0.0924447485267592,0.2351217119683029,0.2675409976372811,0.0187546669245556,0.0017953356022225,0.0534093482761015,1.6770797598619538,0.0188404023676679,0.0520345733244598,0.0005845591378095,0.0,0.0,1.6770797598619538,0.0188404023676679,0.0520345733244598,0.0005845591378095,1,0,HII,6,G334.427+00.331,,,-90.4,9.63,1.36,47.275251925128615
G334.400-00.523,K,334.4,-0.523,246.74997,-49.749706,61.6,,,-8.8,Wenger et al. (2021),,,,,0.57426,0.295085,,,7.87011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATCA682; SHRDS815,G333.5+000,S1567,G334.402-00.522,1130,0,0,NONE,0,1585.5,2496.0,41,36,1583.5,2495.4,34.5,39.4,77.0,1583.9,2496.3,334.40221,-0.52198,246.75123,-49.7474,1581.3,2495.1,334.40328,-0.52246,27.3,0.682,1584.6,2497.5,20.9,334.40191,-0.52147,0.522,0.862,0.986,3.2173185988212936,0.0006464665639214,0.0082103684544563,0.0027870912937678,0.0023155186790972,0.0018223845891561,0.3867380419105757,0.5140219776549586,0.5319204188888333,0.012652561596101,0.0024803463438886,0.0833780146308086,2.830580556910718,0.0128933871782698,0.087824118485268,0.0004000417371822,0.0,0.0,2.830580556910718,0.0128933871782698,0.087824118485268,0.0004000417371822,1,0,HII,6,G334.400-00.523,,,-8.8,14.33,0.58,47.90391318446186
G334.341+00.045,K,334.341,0.045,246.05909,-49.395088,52.8,,,-66.8,Wenger et al. (2021),,,,N,4.02099,0.214358,Visible/Kin,,4.96465,3.4259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATCA681; SHRDS814,G333.5+000,S1684,G334.338+00.044,1624,0,0,NONE,0,1739.0,3855.0,48,60,1734.9,3857.4,34.0,62.2,40.9,1736.9,3855.5,334.33839,0.04439,246.05731,-49.39761,1729.7,3858.4,334.34141,0.04558,38.4,0.961,1732.4,3854.7,32.2,334.34028,0.04403,0.806,0.849,1.554,17.02885409038572,0.0001963968970812,0.0954146981239318,0.0023553640174605,0.0010771320085041,0.002726062215501,0.2074279519089032,0.4390493066562992,0.334921147385447,0.0111386796644396,0.0048692136957784,0.1962238747772892,16.821426138476816,0.012156456172839,0.5219165795052024,0.0003771770581401,0.0,0.0,16.821426138476816,0.012156456172839,0.5219165795052024,0.0003771770581401,1,0,HII,6,G334.341+00.045,,,-66.8,9.65,1.37,47.60541529887009
G334.202+00.193,K,334.202,0.193,245.74731,-49.389956,83.8,,,-94.7,Wenger et al. (2021),,,,N,5.43136,0.320841,Visible/Kin,,4.22096,18.9561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATCA678; SHRDS811,G333.5+000,S1895,G334.202+00.191,3079,0,0,NONE,0,2063.5,4208.0,61,72,2065.6,4207.8,61.5,64.3,19.0,2064.9,4207.6,334.20174,0.1911,245.74939,-49.39166,2066.8,4207.6,334.20095,0.19107,47.2,1.18,2065.2,4208.4,38.7,334.20161,0.19141,0.967,1.537,1.608,14.541899121235474,0.0001380249741487,0.0235103871673345,0.0037047680017319,0.0029024255927652,0.0028266096209992,-0.228880279473833,0.7235357108365587,1.1198653851245988,0.0682509594920777,0.0092444833045097,0.5129647082947327,14.770779400709309,0.0688741892377442,0.4582913837377029,0.0021369520614506,0.0,0.0,14.770779400709309,0.0688741892377442,0.4582913837377029,0.0021369520614506,1,0,HII,6,G334.202+00.193,,,-94.7,9.12,1.29,48.32907682051337
G334.022+00.106,K,334.022,0.107,245.64625,-49.578472,119.4,,,-65.3,Wenger et al. (2021),,,,N,3.94879,0.234466,Visible/Kin,,5.03948,7.92243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATCA674; SHRDS807,G333.5+000,S30041,G334.020+00.108,10996,1,1,S2158,1,2502.0,4006.0,140,122,2499.8,4011.9,118.6,120.1,34.0,2501.8,4008.9,334.01969,0.10828,245.64226,-49.57916,2507.0,4009.3,334.01753,0.10845,92.8,2.321,2501.5,4014.0,72.1,334.0198,0.11042,1.801,2.965,3.002,13.627556716019171,0.0002120366698363,0.0027377072256058,0.0012303763735929,0.0011899464298039,0.0003921965054882,6.545192133449018,9.85076921961678,12.771050741953994,0.1242050432357346,0.0269209653925728,2.822981261156099,7.082364582570153,0.1270890677550938,0.2197437641323861,0.0039431788356828,0.0,0.0,7.082364582570153,0.1270890677550938,0.2197437641323861,0.0039431788356828,1,0,HII,6,G334.022+00.106,,,-65.3,9.67,1.37,48.73837753425756
G333.962+00.063,K,333.962,0.063,245.62851,-49.651688,67.5,,,-64.4,Wenger et al. (2021),,,,N,3.85626,0.250421,Visible/Kin,,5.07315,4.64907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATCA673; SHRDS806,G333.5+000,S2218,G333.962+00.064,1616,0,0,NONE,0,2640.0,3902.0,46,54,2640.5,3903.0,43.1,44.5,45.0,2640.4,3903.0,333.96191,0.06418,245.62758,-49.65122,2639.5,3905.4,333.96229,0.06515,35.5,0.887,2640.0,3901.5,26.5,333.96209,0.06355,0.664,1.078,1.114,8.178541554778349,0.000976541370619,0.017116816714406,0.0043013410577849,0.0037257451331242,0.0022123621467239,0.7458963703829795,1.4371527095736782,1.8268990730921173,0.0389805567072275,0.0077029003408072,0.3096527613880114,7.432645184395369,0.0397343488038471,0.230611882689437,0.0012328333665559,0.0,0.0,7.432645184395369,0.0397343488038471,0.230611882689437,0.0012328333665559,1,0,HII,6,G333.962+00.063,,,-64.4,4.99,1.34,46.91087467871947
G333.733-00.429,K,333.733,-0.428,245.91989,-50.160373,59.5,,,-5.5,Wenger et al. (2021),-3.9,Urquart et al. (2007),13CO,N,0.361782,0.197948,Visible/Kin,,8.14766,-2.9509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATCA671; SHRDS804,G333.5+000,S2582,G333.733-00.427,486,0,0,NONE,0,3189.5,2727.0,25,30,3188.9,2724.7,23.7,24.6,26.6,3188.8,2724.9,333.73344,-0.42671,245.9189,-50.15913,3187.8,2724.3,333.73383,-0.42695,19.5,0.488,3189.0,2726.0,14.3,333.73334,-0.42625,0.358,0.593,0.615,8.591473826021684,-9.153883729595692e-05,0.0690111517906189,0.0148052158139873,0.0083001023158431,0.0155229876440343,-0.3538132089539431,-0.2337601630591124,-0.0919221172075206,0.0145354987982052,0.0057002946701323,0.1256653199279778,8.945287034975626,0.0156132663026979,0.2775444586893668,0.0004844311342287,0.0,0.0,8.945287034975626,0.0156132663026979,0.2775444586893668,0.0004844311342287,1,0,HII,6,G333.733-00.429,,,-5.5,5.14,1.30,48.020723289879534
G333.725+00.364,K,333.725,0.364,245.04175,-49.606034,100.8,,,-27.3,Wenger et al. (2021),-33.9,Foster et al. (2011),90GHz,N,1.81803,0.223732,Visible/Kin,,6.67369,13.4058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATCA670; SHRDS803,G333.5+000,S2592,G333.724+00.364,1141,0,0,NONE,0,3210.5,4622.0,33,48,3210.7,4620.6,31.4,46.1,11.3,3211.1,4622.5,333.72415,0.36394,245.0409,-49.6067,3208.0,4626.1,333.7254,0.36547,29.1,0.728,3213.3,4621.7,23.8,333.72321,0.36362,0.595,0.784,1.152,13.774912425869845,0.0003542008344084,0.0694206431508064,0.0042364469541791,0.0020349267870187,0.0046639297885444,0.230349576898152,0.4331818168884079,0.5613739621077132,0.0210019056827559,0.0046944808014473,0.1585734187828298,13.54456284897169,0.0215201810471597,0.4202456946773869,0.0006677043426642,0.0,0.0,13.54456284897169,0.0215201810471597,0.4202456946773869,0.0006677043426642,1,0,HII,6,G333.725+00.364,,,-27.3,5.18,1.29,47.50857494707145
G333.681-00.441,K,333.681,-0.44,245.87623,-50.205855,66.0,,,-0.5,Wenger et al. (2021),-5.6,Urquart et al. (2007),13CO,F,14.5938,0.293587,HIEA/Kin,Jones & Dickey (2012),8.5,-117.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G333.684-00.457; G333.681-00.441,G333.5+000,S2670,G333.676-00.436,1163,0,0,NONE,0,3327.5,2704.5,47,43,3324.7,2702.6,34.4,43.9,48.0,3326.3,2703.1,333.67615,-0.43581,245.8661,-50.20626,3322.7,2702.7,333.67762,-0.43595,31.9,0.796,3326.5,2704.7,22.9,333.67607,-0.43512,0.571,0.86,1.096,8.83670745138079,0.0005286104278638,0.0736425369977951,0.0048604770572463,0.0042234861757606,0.0032951761450689,-0.2030500294122248,1.2619414979686554,0.7774380662837204,0.0387088158383612,0.0359937029419689,1.2274855419372903,9.039757480793014,0.0528575356508688,0.28047558305061,0.0016400050733435,0.0,0.0,9.039757480793014,0.0528575356508688,0.28047558305061,0.0016400050733435,1,0,HII,6,G333.681-00.441,,,-0.5,4.81,1.37,47.230475050280425
G333.534-00.383,K,333.534,-0.382,245.65006,-50.269408,238.3,,,-56.3,Wenger et al. (2021),,,,N,3.37525,0.278679,Visible/Kin,,5.38281,-25.2484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATCA668; SHRDS801,G333.5+000,S30076,G333.529-00.391,23057,0,0,NONE,1,3679.0,2813.5,160,217,3679.0,2812.9,224.7,125.6,60.0,3680.0,2810.7,333.52874,-0.39097,245.65399,-50.27932,3681.6,2816.3,333.52809,-0.38862,134.8,3.37,3685.0,2809.5,112.8,333.52667,-0.39146,2.819,3.139,5.617,46.14099440785898,-0.0007472425932064,0.0080363107845187,0.0019352342562008,0.0018432547803968,0.001006381480978,-3.9491544515738495,11.426069709891152,27.815201032237432,0.2794102981369403,0.0601265402226825,9.129933501854133,50.09014885943283,0.2858064302007982,1.5541416610226155,0.008867685368828,0.0,0.0,50.09014885943283,0.2858064302007982,1.5541416610226155,0.008867685368828,1,0,HII,6,G333.534-00.383,,,-56.3,9.89,1.32,48.02917162300988
