iauName,WISE Name,GLong,GLat,Radius,VLSR(km/s),Dist.<br>(kpc),Err Dist.<br>(kpc),Dist. Method,Dist. Author,WISE 12um<br>(Jy),flux,fluxErr,flux_noPS,flux_err_noPS,distance_kpc,distance_err_kpc,radius_wcs,physical_radius_pc,ne,N_Ly,Spectral Type
G034.040+00.053,G034.041+00.052,34.041,0.053,42.5,36.4,11.391,0.232388,HIEA/Kin,Anderson et al. (2012),6.60408,0.11786698709466,0.0016819826057455,0.11786698709466,0.0016819826057455,2.39,0.15,0.828,0.5756439531670424,30.44,46.81,B0
G034.047+00.140,G034.046+00.140,34.047,0.141,42.5,51.5,,,,,0.990927,0.0144880701607956,0.0004466905750168,0.0144880701607956,0.0004466905750168,9.82,0.42,0.495,1.4139771652970694,11.45,47.13,B0
G034.086+00.442,G034.089+00.438,34.089,0.438,65.8,32.6,11.55,0.303892,HIEA+HISA/Kin,Anderson & Bania (2009a),12.235,0.3304111793702405,0.0008510208213829,0.3304111793702405,0.0008510208213829,2.08,0.2,1.289,0.7799054614209875,28.23,47.14,B0
G034.162+00.152,G034.158+00.147,34.158,0.148,213.9,57.3,,,,,58.9416,1.118020962459701,0.0051741531934266,1.118020962459701,0.0051741531934266,9.78,0.38,4.643,13.208796451167188,3.5,49.01,O6
G034.333+00.208,G034.333+00.212,34.333,0.213,147.5,62.9,9.85632,0.299387,HIEA/Kin,Anderson et al. (2012),16.7451,0.290915581491707,0.0032840971845897,0.2877311290791028,0.0032965260088467,9.74,0.35,2.67,7.564773471020289,4.11,48.42,O7.5
G034.547+00.072,G034.542+00.062,34.542,0.062,105.2,50.0,,,,,2.57533,0.0754198090508329,0.0015124042569652,0.0754198090508329,0.0015124042569652,9.71,0.43,1.508,4.259378954257873,4.93,47.83,O9.5
G034.685+00.067,G034.686+00.068,34.686,0.068,42.5,52.0,10.5212,0.271113,HIEA/Kin,Anderson et al. (2012),4.0306,0.1538050687566818,0.0012490475007445,0.1538050687566818,0.0012490475007445,9.71,0.42,0.62,1.7512035488328122,26.74,48.14,O8.5
G034.757+00.018,G034.756+00.022,34.757,0.022,60.0,86.1,6.71135,0.0204334,TP/Kin,,1.99812,0.2107538754153367,0.0023594043307892,0.2107538754153367,0.0023594043307892,5.18,0.5,2.073,3.1235953748818264,7.01,47.73,O9.5
G034.775-00.693,G034.757-00.669,34.757,-0.668,401.2,52.1,2.99003,0.366632,HIEA+HISA/Kin,Anderson & Bania (2009a),74.7686,0.397592606266067,0.020433308821754,0.397592606266067,0.020433308821754,2.7,0.36,2.831,2.223460111991855,8.36,47.44,O9.5
G035.050-00.522,G035.051-00.520,35.051,-0.52,52.2,48.0,10.5779,0.29373,H2CO/Kin,Watson et al. (2003),11.5729,0.279124419013912,0.0011151443244194,0.279124419013912,0.0011151443244194,2.54,0.2,0.678,0.5009439313504472,61.62,47.24,B0
G035.052-00.485,G035.040-00.500,35.04,-0.5,133.1,48.0,10.5731,0.276839,H2CO/Kin,Watson et al. (2003),33.367,1.4132419631814688,0.0079481067415015,1.4132419631814688,0.0079481067415015,2.54,0.21,2.827,2.088744091338812,16.26,47.94,O9
G035.067-01.494,G035.075-01.519,35.076,-1.518,495.8,44.8,,,,,163.818,1.7848871089659717,0.0556315179405711,1.7765467588944566,0.0556322141393273,2.49,0.14,5.643,4.087286742782343,6.55,48.03,O9
G035.137-00.760,G035.126-00.755,35.126,-0.754,169.4,34.5,2.09335,0.245441,HIEA/Kin,Anderson et al. (2015b),120.11,0.2924983108596798,0.001069697356176,0.2924983108596798,0.001069697356176,2.21,0.23,0.602,0.3870031270453057,80.44,47.14,B0
G035.262+00.120,G035.258+00.118,35.259,0.119,42.5,38.1,,,,,1.75952,0.0185932446191407,0.0005206783639296,0.0185932446191407,0.0005206783639296,2.39,0.17,0.548,0.3809817467820522,22.57,46.01,B0.5
